paper_id,paper_title,paper_link,year,list_of_staff,number_of_staff,staff_name1,staff_dept1,staff_title1,staff_name2,staff_dept2,staff_title2,staff_name3,staff_dept3,staff_title3
35,Efficient Computation of Subspace Skyline over Categorical Domains,https://dl.acm.org/doi/pdf/10.1145/3132847.3133012,2017,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
36,Efficient computation of regret-ratio minimizing set: A compact maxima representative,https://dl.acm.org/doi/pdf/10.1145/3035918.3035932,2017,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
37,Generating preview tables for entity graphs,https://dl.acm.org/doi/pdf/10.1145/2882903.2915221,2016,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
38,Crowdsourcing pareto-optimal object finding by pairwise comparisons,https://arxiv.org/pdf/1409.4161,2015,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
39,Spatio-Temporal Matching for Urban Transportation Applications,https://dl.acm.org/doi/pdf/10.1145/3183344,2018,"['Ayala, Daniel', 'DasGupta, Bhaskar', 'Wolfson, Ouri']",3,"Ayala, Daniel",Department of Computer Science,Clinical Assistant Professor,"DasGupta, Bhaskar",Department of Computer Science,Professor,"Wolfson, Ouri",Department of Computer Science,Richard and Loan Hill Professor
40,Curating Quality? How Twitter’s Timeline Algorithm Treats Different Types of News,https://journals.sagepub.com/doi/full/10.1177/20563051211041648,2021,"['Bandy, Jack']",1,"Bandy, Jack",Department of Computer Science,Clinical Assistant Professor,,,,,,
41,"More Accounts, Fewer Links: How Algorithmic Curation Impacts Media Exposure in Twitter Timelines",https://dl.acm.org/doi/pdf/10.1145/3449152,2021,"['Bandy, Jack']",1,"Bandy, Jack",Department of Computer Science,Clinical Assistant Professor,,,,,,
42,Errors in Geotargeted Display Advertising: Good News for Local Journalism?,https://par.nsf.gov/servlets/purl/10404671,2021,"['Bandy, Jack']",1,"Bandy, Jack",Department of Computer Science,Clinical Assistant Professor,,,,,,
43,Auditing news curation systems: A case study examining algorithmic and editorial logic in apple news,https://aaai.org/ojs/index.php/ICWSM/article/download/7277/7131,2020,"['Bandy, Jack']",1,"Bandy, Jack",Department of Computer Science,Clinical Assistant Professor,,,,,,
44,From invisibility to readability: Recovering the ink of Herculaneum,https://journals.plos.org/plosone/article/?id=10.1371/journal.pone.0215775,2019,"['Bandy, Jack']",1,"Bandy, Jack",Department of Computer Science,Clinical Assistant Professor,,,,,,
45,Getting to the Core of Algorithmic News Aggregators: Applying a Crowdsourced Audit to the Trending Stories Section of Apple News,https://par.nsf.gov/servlets/purl/10096342,2019,"['Bandy, Jack']",1,"Bandy, Jack",Department of Computer Science,Clinical Assistant Professor,,,,,,
46,Demonstrating HighFiveLive: A mobile application for recognizing symbolic gestures,https://drive.google.com/file/u/0/d/10Wti074JGMasf_jpbPbVz9ZI96iUgHSo/view,2016,"['Bandy, Jack']",1,"Bandy, Jack",Department of Computer Science,Clinical Assistant Professor,,,,,,
47,Safe curves for elliptic-curve cryptography,https://eprint.iacr.org/2024/1265.pdf,2025,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
48,PQConnect: Automated Post-Quantum End-to-End Tunnels,https://eprint.iacr.org/2024/2092.pdf,2024,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
49,"Asymptotics for the standard block size in primal lattice attacks: second order, formally verified",https://eprint.iacr.org/2024/592.pdf,2024,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
50,Cryptographic competitions,https://link.springer.com/content/pdf/10.1007/s00145-023-09467-1.pdf,2024,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
51,Fast norm computation in smooth-degree abelian number fields,https://link.springer.com/content/pdf/10.1007/s40993-022-00402-0.pdf,2023,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
52,Analyzing the complexity of reference post-quantum software: the case of lattice-based KEMs,https://eprint.iacr.org/2023/1924.pdf,2023,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
53,Analyzing the complexity of reference post-quantum software.,https://cr.yp.to/papers/pqcomplexity-20231221.pdf,2023,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
54,Asymptotics of hybrid primal lattice attacks,https://eprint.iacr.org/2023/1892.pdf,2023,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
55,Predicting performance for post-quantum encrypted-file systems,https://eprint.iacr.org/2023/1878.pdf,2023,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
56,Quantifying risks in cryptographic selection processes,https://eprint.iacr.org/2023/1838.pdf,2023,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
57,CryptAttackTester: formalizing attack analyses.,https://cat-cr-yp-to.viacache.net/cryptattacktester-20230614.pdf,2023,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
58,A one-time single-bit fault leaks all previous NTRU-HRSS session keys to a chosen-ciphertext attack,https://eprint.iacr.org/2022/1125.pdf,2022,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
59,Multi-ciphertext security degradation for lattices,https://eprint.iacr.org/2022/1580.pdf,2022,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
60,Understanding binary-Goppa decoding,https://eprint.iacr.org/2022/473.pdf,2022,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
61,{OpenSSLNTRU}: Faster post-quantum {TLS} key exchange,https://www.usenix.org/system/files/sec22-bernstein.pdf,2022,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
62,Basicblocker: Isa redesign to make spectre-immune cpus faster,https://dl.acm.org/doi/fullHtml/10.1145/3471621.3471857,2021,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
63,CTIDH: faster constant-time CSIDH,https://incs.ub.rub.de/index.php/TCHES/article/download/9069/8657,2021,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
64,On the looseness of FO derandomization.,https://cr.yp.to/papers/footloose-20210705.pdf,2021,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
65,FO derandomization sometimes damages security,https://eprint.iacr.org/2021/912.pdf,2021,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
66,Non-randomness of S-unit lattices,https://eprint.iacr.org/2021/1428.pdf,2021,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
67,Faster computation of isogenies of large prime degree,https://msp.org/obs/2020/4-1/obs-v4-n1-p04-s.pdf,2020,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
68,ANTS XIV,https://par.nsf.gov/servlets/purl/10225017,,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
69,Further analysis of the impact of distancing upon the COVID-19 pandemic,https://www.medrxiv.org/content/10.1101/2020.04.14.20048025.full,2020,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
70,Observations on COMET,https://eprint.iacr.org/2020/1445.pdf,2020,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
71,Concrete quantum cryptanalysis of binary elliptic curves,https://tches.iacr.org/index.php/TCHES/article/download/8741/8341,2020,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
72,Verified fast formulas for control bits for permutation networks,https://eprint.iacr.org/2020/1493.pdf,2020,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
73,A discretization attack,https://eprint.iacr.org/2020/1370.pdf,2020,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
74,BasicBlocker: Redesigning ISAs to Eliminate Speculative-Execution Attacks,http://cr.yp.to/papers/basicblocker-20200731.pdf,2020,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
75,{McTiny}: Fast {High-Confidence}{Post-Quantum} Key Erasure for Tiny Network Servers,https://www.usenix.org/system/files/sec20summer_bernstein_prepub.pdf,2020,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
76,Divergence bounds for random fixed-weight vectors obtained by sorting,https://ntruprime.cr.yp.to/divergence-20180430.pdf,2020,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
77,Decisional second-preimage resistance: When does SPR imply PRE?,https://eprint.iacr.org/2019/492.pdf,2019,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
78,The SPHINCS+ signature framework,https://dl.acm.org/doi/pdf/10.1145/3319535.3363229,2019,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
79,Fast constant-time gcd computation and modular inversion,https://tosc.iacr.org/index.php/TCHES/article/download/8298/7880,2019,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
80,Quantum circuits for the CSIDH: optimizing quantum evaluation of isogenies,https://research.tue.nl/files/127419954/2018_1059.pdf,2019,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
81,Visualizing size-security tradeoffs for lattice-based encryption,https://eprint.iacr.org/2019/655.pdf,2019,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
82,Comparing proofs of security for lattice-based encryption,https://eprint.iacr.org/2019/691.pdf,2019,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
83,HILA5 pindakaas: on the CCA security of lattice-based encryption with error correction,https://cr-yp-to.viacache.net/papers/hila5-20171218.pdf,2018,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
84,Asymptotically faster quantum algorithms to solve multivariate quadratic equations,https://www.iis.sinica.edu.tw/papers/byyang/21806-F.pdf,2018,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
85,Towards KEM unification,https://eprint.iacr.org/2018/526.pdf,2018,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
86,Gimli: A cross-platform permutation,https://eprint.iacr.org/2017/630.pdf,2017,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
87,Sliding right into disaster: Left-to-right sliding windows leak,https://research.tue.nl/files/92582233/bernssli2017.pdf,2017,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
88,NTRU prime: reducing attack surface at low cost,https://research.tue.nl/files/92153553/bernNTRU2017.pdf,2017,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
89,Low-communication parallel quantum multi-target preimage search,https://eprint.iacr.org/2017/789.pdf,2017,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
90,A low-resource quantum factoring algorithm,https://eprint.iacr.org/2017/352.pdf,2017,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
91,Post-quantum RSA,https://eprint.iacr.org/2017/351.pdf,2017,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
92,Short generators without quantum computers: the case of multiquadratics,https://eprint.iacr.org/2017/404.pdf,2017,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
93,Post-quantum cryptography---dealing with the fallout of physics success,https://eprint.iacr.org/2017/314.pdf,2017,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
94,Asymptotically faster quantum algorithms to solve multivariate quadratic equations,https://eprint.iacr.org/2017/1206.pdf,2017,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
95,Hash-function based PRFs: AMAC and its multi-user security,https://eprint.iacr.org/2016/142.pdf,2016,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
96,Dual EC: A standardized back door,https://research.tue.nl/files/3854147/588733604251427.pdf,2016,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
97,Faster elliptic-curve discrete logarithms on FPGAs,https://eprint.iacr.org/2016/382.pdf,2016,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
98,How to Manipulate Curve Standards: A White Paper for the Black Hat http://bada55. cr. yp. to,https://eprint.iacr.org/2014/571.pdf,2015,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
99,Investigating SRAM pufs in large cpus and gpus,https://arxiv.org/pdf/1507.08514,2015,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
100,Bad directions in cryptographic hash functions,https://research.tue.nl/files/3753731/584206341388310.pdf,2015,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
101,On the practical exploitability of dual {EC} in {TLS} implementations,https://www.usenix.org/system/files/conference/usenixsecurity14/sec14-paper-checkoway.pdf,2014,"['Bernstein, Daniel J.']",1,"Bernstein, Daniel J.",Department of Computer Science,Research Professor,,,,,,
102,On the Concrete Security of Non-interactive FRI,https://eprint.iacr.org/2024/1161.pdf,2024,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
103,Field-Agnostic SNARKs from Expand-Accumulate Codes,https://eprint.iacr.org/2024/1871.pdf,2024,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
104,Fiat-Shamir security of FRI and related snarks,https://eprint.iacr.org/2023/1071.pdf,2023,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
105,"Computationally relaxed locally decodable codes, revisited",https://arxiv.org/pdf/2305.01083,2023,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
106,Memory-hard puzzles in the standard model with applications to memory-hard functions and resource-bounded locally decodable codes,https://eprint.iacr.org/2021/801.pdf,2022,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
107,Honest Majority Multi-Prover Interactive Arguments,https://eprint.iacr.org/2022/557.pdf,2022,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
108,Time-and space-efficient arguments from groups of unknown order,https://eprint.iacr.org/2021/358.pdf,2021,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
109,Private and resource-bounded locally decodable codes for insertions and deletions,https://arxiv.org/pdf/2103.14122,2021,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
110,Public-coin zero-knowledge arguments with (almost) minimal time and space overheads,https://eprint.iacr.org/2020/1425.pdf,2020,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
111,Secure computation with constant communication overhead using multiplication embeddings,https://eprint.iacr.org/2018/395.pdf,2018,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
112,Secure computation using leaky correlations (asymptotically optimal constructions),https://eprint.iacr.org/2018/372.pdf,2018,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
113,Secure computation based on leaky correlations: High resilience setting,https://www.cs.uic.edu/~block/docs/papers/FULL-BloMajNgu17.pdf,2017,"['Block, Alexander R']",1,"Block, Alexander R",Department of Computer Science,Assistant Professor,,,,,,
114,VoxAR: Adaptive visualization of volume rendered objects in optical see-through augmented reality,https://johanna-b.github.io/files/documents/voxar.pdf,2023,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
115,Submerse: Visualizing Storm Surge Flooding Simulations in Immersive Display Ecologies,https://arxiv.org/pdf/2304.06872,2023,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
116,Risk Perception and Preparation for Storm Surge Flooding: A Virtual Workshop with Visualization and Stakeholder Interaction,https://journals.ametsoc.org/view/journals/bams/aop/BAMS-D-22-0145.1/BAMS-D-22-0145.1.xml,2023,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
117,Risk Perception and Preparation for Storm Surge Flooding,https://www.academia.edu/download/116479132/bams-BAMS-D-22-0145.1.pdf,,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
118,A Survey of Visualization and Analysis in High‐Resolution Connectomics,https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/cgf.14574,2022,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
119,Geometry-Aware Planar Embedding of Treelike Structures,https://arxiv.org/pdf/2202.10551,2022,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
120,NeuRegenerate: A framework for visualizing neurodegeneration,https://pmc.ncbi.nlm.nih.gov/articles/PMC10070008/,2021,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
121,NeuroConstruct: 3D reconstruction and visualization of neurites in optical microscopy brain images,https://ieeexplore.ieee.org/ielaam/2945/9930678/9529035-aam.pdf,2021,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
122,Design of Privacy Preservation System in Augmented Reality,https://par.nsf.gov/servlets/purl/10350079,2021,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
123,CMed: Crowd analytics for medical imaging data,https://ieeexplore.ieee.org/ielaam/2945/9429958/8907502-aam.pdf,2019,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
124,Visualization of Neuronal Structures in Wide-Field Microscopy Brain Images.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6382602/,2018,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
125,Crowdsourcing lung nodules detection and annotation,https://arxiv.org/pdf/1809.06402,2018,"['Boorboor, Saeed']",1,"Boorboor, Saeed",Department of Computer Science,Assistant Professor,,,,,,
